run,crawl_dir,states,edges,states_with_dep,unique_dep,exit_status
baseline,experiments/dep/results/all-calibration/addressbook/baseline/web/crawl0,9,16,6,19,EXHAUSTED
baseline,experiments/dep/results/all-calibration/hotcrp/baseline/web/crawl0,2,1,0,0,EXHAUSTED
baseline,experiments/dep/results/all-calibration/joomla/baseline/web/crawl0,3,3,3,13,EXHAUSTED
baseline,experiments/dep/results/all-calibration/owncloud/baseline/web/crawl0,7,14,7,57,MAX_TIME
baseline,experiments/dep/results/all-calibration/phpbb2/baseline/web/crawl0,1,0,0,0,EXHAUSTED
baseline,experiments/dep/results/all-calibration/scarf/baseline/web/crawl0,1,0,0,0,EXHAUSTED
baseline,experiments/dep/results/all-calibration/vanilla/baseline/web/crawl0,1,0,0,0,EXHAUSTED
baseline,experiments/dep/results/all-calibration/wackopicko/baseline/web/crawl0,12,42,10,24,MAX_TIME
dep,experiments/dep/results/all-calibration/addressbook/dep/web/crawl0,16,27,14,68,MAX_TIME
dep,experiments/dep/results/all-calibration/hotcrp/dep/web/crawl0,2,1,0,0,EXHAUSTED
dep,experiments/dep/results/all-calibration/joomla/dep/web/crawl0,10,5,10,19,MAX_TIME
dep,experiments/dep/results/all-calibration/owncloud/dep/web/crawl0,5,7,5,46,MAX_TIME
dep,experiments/dep/results/all-calibration/phpbb2/dep/web/crawl0,1,0,0,0,EXHAUSTED
dep,experiments/dep/results/all-calibration/scarf/dep/web/crawl0,1,0,0,0,EXHAUSTED
dep,experiments/dep/results/all-calibration/vanilla/dep/web/crawl0,1,0,0,0,EXHAUSTED
dep,experiments/dep/results/all-calibration/wackopicko/dep/web/crawl0,13,35,10,24,MAX_TIME
