method,run,apps,complete_runs,max_time_runs,exhausted_runs,duration_seconds,states,edges,crawl_paths,candidate_elements,failed_events,near_duplicates,states_with_dep,unique_dep,unique_links,unique_resources,unique_js_sources,code_covered_lines,code_coverable_lines,avg_average_dom_kb,avg_candidate_elements_per_state,avg_dep_state_coverage_pct,avg_unique_dep_per_state,avg_code_coverage_pct,avg_dep_coverage_pct,avg_link_coverage_pct,avg_js_source_coverage_pct,avg_code_coverage_union_pct,delta_duration_seconds_vs_baseline,delta_states_vs_baseline,delta_edges_vs_baseline,delta_crawl_paths_vs_baseline,delta_candidate_elements_vs_baseline,delta_failed_events_vs_baseline,delta_near_duplicates_vs_baseline,delta_states_with_dep_vs_baseline,delta_unique_dep_vs_baseline,delta_unique_links_vs_baseline,delta_unique_resources_vs_baseline,delta_unique_js_sources_vs_baseline,delta_code_covered_lines_vs_baseline,delta_code_coverable_lines_vs_baseline,delta_avg_average_dom_kb_vs_baseline,delta_avg_candidate_elements_per_state_vs_baseline,delta_avg_dep_state_coverage_pct_vs_baseline,delta_avg_unique_dep_per_state_vs_baseline,delta_avg_code_coverage_pct_vs_baseline,delta_avg_dep_coverage_pct_vs_baseline,delta_avg_link_coverage_pct_vs_baseline,delta_avg_js_source_coverage_pct_vs_baseline,delta_avg_code_coverage_union_pct_vs_baseline
general_paths,baseline,8,8,3,5,903,65,252,127,1573,71,0,53,202,158,0,152,0,0,13.989,10.937,45.209,2.203,0.0,35.51,68.537,33.991,0.0,,,,,,,,,,,,,,,,,,,,,,,
general_paths,dep,8,8,4,4,1182,124,320,120,1727,38,0,113,215,153,0,144,0,0,17.473,12.306,46.928,1.122,0.0,36.244,68.289,33.271,0.0,279.0,59.0,68.0,-7.0,154.0,-33.0,0.0,60.0,13.0,-5.0,0.0,-8.0,0.0,0.0,3.484,1.369,1.719,-1.081,0.0,0.734,-0.248,-0.72,0.0
procrawl,baseline,7,7,4,3,2987,352,303,167,2962,15,0,82,198,155,0,118,0,0,8.907,13.821,38.693,0.796,0.0,36.667,65.656,35.629,0.0,,,,,,,,,,,,,,,,,,,,,,,
procrawl,dep,7,7,4,3,2210,198,205,109,1393,24,0,54,143,135,0,118,0,0,8.661,12.121,37.506,0.971,0.0,30.687,62.654,35.629,0.0,-777.0,-154.0,-98.0,-58.0,-1569.0,9.0,0.0,-28.0,-55.0,-20.0,0.0,0.0,0.0,0.0,-0.246,-1.7,-1.187,0.175,0.0,-5.98,-3.002,0.0,0.0
rted,baseline,8,8,0,8,51,8,0,0,37,12,0,5,39,39,0,69,0,0,4.973,4.625,62.5,4.875,0.0,7.381,51.055,14.117,0.0,,,,,,,,,,,,,,,,,,,,,,,
rted,dep,8,8,5,3,6121,83,241,127,1102,13,0,76,296,198,0,186,0,0,11.831,12.61,59.759,2.543,0.0,40.156,69.891,36.084,0.0,6070.0,75.0,241.0,127.0,1065.0,1.0,0.0,71.0,257.0,159.0,0.0,117.0,0.0,0.0,6.858,7.985,-2.741,-2.332,0.0,32.775,18.836,21.967,0.0
simhash,baseline,8,8,0,8,47,8,0,0,37,12,0,5,39,39,0,69,0,0,4.973,4.625,62.5,4.875,0.0,7.381,51.055,14.117,0.0,,,,,,,,,,,,,,,,,,,,,,,
simhash,dep,8,8,5,3,1453,91,262,138,992,7,0,83,279,202,0,176,0,0,11.084,9.217,58.34,2.215,0.0,38.608,70.445,35.425,0.0,1406.0,83.0,262.0,138.0,955.0,-5.0,0.0,78.0,240.0,163.0,0.0,107.0,0.0,0.0,6.111,4.592,-4.16,-2.66,0.0,31.227,19.39,21.308,0.0
url_full,baseline,8,8,2,6,645,47,224,118,974,49,0,37,128,124,0,145,0,0,10.338,9.248,44.271,2.058,0.0,28.29,63.115,20.951,0.0,,,,,,,,,,,,,,,,,,,,,,,
url_full,dep,8,8,4,4,1180,124,298,134,1105,46,0,111,274,158,0,194,0,0,11.697,8.015,46.694,1.608,0.0,41.637,69.134,36.561,0.0,535.0,77.0,74.0,16.0,131.0,-3.0,0.0,74.0,146.0,34.0,0.0,49.0,0.0,0.0,1.359,-1.233,2.423,-0.45,0.0,13.347,6.019,15.61,0.0
widgets,baseline,8,8,3,5,987,48,154,68,804,18,0,38,379,365,0,147,0,0,13.86,10.882,55.427,5.635,0.0,37.862,78.001,37.617,0.0,,,,,,,,,,,,,,,,,,,,,,,
widgets,dep,8,8,5,3,1465,88,278,125,1614,56,0,78,247,209,0,145,0,0,15.835,13.92,58.156,1.85,0.0,35.734,71.195,33.361,0.0,478.0,40.0,124.0,57.0,810.0,38.0,0.0,40.0,-132.0,-156.0,0.0,-2.0,0.0,0.0,1.975,3.038,2.729,-3.785,0.0,-2.128,-6.806,-4.256,0.0
