method,app,run,crawl_dir,exit_status,duration_seconds,states,edges,crawl_paths,average_dom_kb,candidate_elements,candidate_elements_per_state,failed_events,near_duplicates,states_with_dep,dep_state_coverage_pct,unique_dep,unique_dep_per_state,unique_links,unique_resources,unique_js_sources,code_coverage_files,code_coverage_parse_errors,code_covered_lines,code_coverable_lines,code_coverage_pct,total_known_dep,dep_coverage_pct,total_known_links,link_coverage_pct,total_known_js_sources,js_source_coverage_pct,total_known_code_lines,code_coverage_union_pct,delta_duration_seconds_vs_baseline,delta_states_vs_baseline,delta_edges_vs_baseline,delta_crawl_paths_vs_baseline,delta_average_dom_kb_vs_baseline,delta_candidate_elements_vs_baseline,delta_failed_events_vs_baseline,delta_near_duplicates_vs_baseline,delta_states_with_dep_vs_baseline,delta_dep_state_coverage_pct_vs_baseline,delta_unique_dep_vs_baseline,delta_unique_links_vs_baseline,delta_unique_resources_vs_baseline,delta_unique_js_sources_vs_baseline,delta_code_covered_lines_vs_baseline,delta_code_coverable_lines_vs_baseline,delta_code_coverage_pct_vs_baseline,delta_dep_coverage_pct_vs_baseline,delta_link_coverage_pct_vs_baseline,delta_js_source_coverage_pct_vs_baseline,delta_code_coverage_union_pct_vs_baseline
general_paths,addressbook,baseline,experiments/dep/results/method-full/general_paths/addressbook/baseline/web/crawl0,MAX_TIME,288,24,78,44,5.835,214,8.917,10,0,18,75.0,88,3.667,58,0,1,0,0,0,0,,137,64.23,81,71.6,1,100.0,0,,,,,,,,,,,,,,,,,,,,,,
general_paths,addressbook,dep,experiments/dep/results/method-full/general_paths/addressbook/dep/web/crawl0,MAX_TIME,296,39,90,24,5.914,349,8.949,30,0,34,87.18,81,2.077,59,0,1,0,0,0,0,,137,59.12,81,72.84,1,100.0,0,,8.0,15.0,12.0,-20.0,0.079,135.0,20.0,0.0,16.0,12.18,-7.0,1.0,0.0,0.0,0.0,0.0,,-5.11,1.24,0.0,
general_paths,hotcrp,baseline,experiments/dep/results/method-full/general_paths/hotcrp/baseline/web/crawl0,EXHAUSTED,7,1,0,0,10.078,1,1.0,0,0,0,0.0,0,0.0,6,0,2,0,0,0,0,,330,0.0,249,2.41,3,66.67,0,,,,,,,,,,,,,,,,,,,,,,
general_paths,hotcrp,dep,experiments/dep/results/method-full/general_paths/hotcrp/dep/web/crawl0,EXHAUSTED,3,1,0,0,10.078,1,1.0,0,0,0,0.0,0,0.0,6,0,2,0,0,0,0,,330,0.0,249,2.41,3,66.67,0,,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
general_paths,joomla,baseline,experiments/dep/results/method-full/general_paths/joomla/baseline/web/crawl0,EXHAUSTED,26,3,8,3,15.418,15,5.0,0,0,3,100.0,27,9.0,5,0,10,0,0,0,0,,136,19.85,5,100.0,190,5.26,0,,,,,,,,,,,,,,,,,,,,,,
general_paths,joomla,dep,experiments/dep/results/method-full/general_paths/joomla/dep/web/crawl0,MAX_TIME,291,51,50,1,25.523,255,5.0,1,0,51,100.0,51,1.0,5,0,10,0,0,0,0,,136,37.5,5,100.0,190,5.26,0,,265.0,48.0,42.0,-2.0,10.105,240.0,1.0,0.0,48.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,,17.65,0.0,0.0,
general_paths,owncloud,baseline,experiments/dep/results/method-full/general_paths/owncloud/baseline/web/crawl0,MAX_TIME,290,19,60,7,65.998,1208,63.579,61,0,19,100.0,60,3.158,54,0,139,0,0,0,0,,60,100.0,139,38.85,139,100.0,0,,,,,,,,,,,,,,,,,,,,,,
general_paths,owncloud,dep,experiments/dep/results/method-full/general_paths/owncloud/dep/web/crawl0,MAX_TIME,298,13,53,3,83.929,967,74.385,6,0,13,100.0,56,4.308,46,0,131,0,0,0,0,,60,93.33,139,33.09,139,94.24,0,,8.0,-6.0,-7.0,-4.0,17.931,-241.0,-55.0,0.0,-6.0,0.0,-4.0,-8.0,0.0,-8.0,0.0,0.0,,-6.67,-5.76,-5.76,
general_paths,phpbb2,baseline,experiments/dep/results/method-full/general_paths/phpbb2/baseline/web/crawl0,EXHAUSTED,0,1,0,0,7.572,0,0.0,0,0,0,0.0,0,0.0,4,0,0,0,0,0,0,,0,,4,100.0,0,,0,,,,,,,,,,,,,,,,,,,,,,
general_paths,phpbb2,dep,experiments/dep/results/method-full/general_paths/phpbb2/dep/web/crawl0,EXHAUSTED,0,1,0,0,7.572,0,0.0,0,0,0,0.0,0,0.0,4,0,0,0,0,0,0,,0,,4,100.0,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
general_paths,scarf,baseline,experiments/dep/results/method-full/general_paths/scarf/baseline/web/crawl0,EXHAUSTED,0,1,0,0,1.823,0,0.0,0,0,0,0.0,0,0.0,2,0,0,0,0,0,0,,0,,2,100.0,0,,0,,,,,,,,,,,,,,,,,,,,,,
general_paths,scarf,dep,experiments/dep/results/method-full/general_paths/scarf/dep/web/crawl0,EXHAUSTED,0,1,0,0,1.823,0,0.0,0,0,0,0.0,0,0.0,2,0,0,0,0,0,0,,0,,2,100.0,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
general_paths,vanilla,baseline,experiments/dep/results/method-full/general_paths/vanilla/baseline/web/crawl0,EXHAUSTED,0,1,0,0,0.466,0,0.0,0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,,0,,1,100.0,0,,0,,,,,,,,,,,,,,,,,,,,,,
general_paths,vanilla,dep,experiments/dep/results/method-full/general_paths/vanilla/dep/web/crawl0,EXHAUSTED,0,1,0,0,0.466,0,0.0,0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,,0,,1,100.0,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
general_paths,wackopicko,baseline,experiments/dep/results/method-full/general_paths/wackopicko/baseline/web/crawl0,MAX_TIME,292,15,106,73,4.725,135,9.0,0,0,13,86.67,27,1.8,28,0,0,0,0,0,0,,27,100.0,79,35.44,0,,0,,,,,,,,,,,,,,,,,,,,,,
general_paths,wackopicko,dep,experiments/dep/results/method-full/general_paths/wackopicko/dep/web/crawl0,MAX_TIME,294,17,127,92,4.476,155,9.118,1,0,15,88.24,27,1.588,30,0,0,0,0,0,0,,27,100.0,79,37.97,0,,0,,2.0,2.0,21.0,19.0,-0.249,20.0,1.0,0.0,2.0,1.57,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,2.53,,
procrawl,addressbook,baseline,experiments/dep/results/method-full/procrawl/addressbook/baseline/web/crawl0,MAX_TIME,290,47,124,59,7.403,609,12.957,9,0,38,80.85,137,2.915,75,0,1,0,0,0,0,,137,100.0,81,92.59,1,100.0,0,,,,,,,,,,,,,,,,,,,,,,
procrawl,addressbook,dep,experiments/dep/results/method-full/procrawl/addressbook/dep/web/crawl0,MAX_TIME,292,31,58,18,5.979,303,9.774,21,0,25,80.65,78,2.516,64,0,1,0,0,0,0,,137,56.93,81,79.01,1,100.0,0,,2.0,-16.0,-66.0,-41.0,-1.424,-306.0,12.0,0.0,-13.0,-0.2,-59.0,-11.0,0.0,0.0,0.0,0.0,,-43.07,-13.58,0.0,
procrawl,hotcrp,baseline,experiments/dep/results/method-full/procrawl/hotcrp/baseline/web/crawl0,MAX_TIME,290,256,0,0,10.078,256,1.0,0,0,0,0.0,0,0.0,6,0,2,0,0,0,0,,330,0.0,249,2.41,3,66.67,0,,,,,,,,,,,,,,,,,,,,,,
procrawl,hotcrp,dep,experiments/dep/results/method-full/procrawl/hotcrp/dep/web/crawl0,MAX_TIME,293,133,0,0,9.968,137,1.03,0,0,1,0.75,4,0.03,9,0,2,0,0,0,0,,330,1.21,249,3.61,3,66.67,0,,3.0,-123.0,0.0,0.0,-0.11,-119.0,0.0,0.0,1.0,0.75,4.0,3.0,0.0,0.0,0.0,0.0,,1.21,1.2,0.0,
procrawl,owncloud,baseline,experiments/dep/results/method-full/procrawl/owncloud/baseline/web/crawl0,MAX_TIME,1200,26,25,1,30.771,1912,73.538,6,0,26,100.0,34,1.308,37,0,115,0,0,0,0,,60,56.67,139,26.62,139,82.73,0,,,,,,,,,,,,,,,,,,,,,,
