run,crawl_dir,states,edges,states_with_dep,unique_dep,exit_status
baseline,experiments/dep/results/method-full/general_paths/addressbook/baseline/web/crawl0,24,78,18,90,MAX_TIME
baseline,experiments/dep/results/method-full/general_paths/hotcrp/baseline/web/crawl0,1,0,0,0,EXHAUSTED
baseline,experiments/dep/results/method-full/general_paths/joomla/baseline/web/crawl0,3,8,3,14,EXHAUSTED
baseline,experiments/dep/results/method-full/general_paths/owncloud/baseline/web/crawl0,19,60,19,61,MAX_TIME
baseline,experiments/dep/results/method-full/general_paths/phpbb2/baseline/web/crawl0,1,0,0,0,EXHAUSTED
baseline,experiments/dep/results/method-full/general_paths/scarf/baseline/web/crawl0,1,0,0,0,EXHAUSTED
baseline,experiments/dep/results/method-full/general_paths/vanilla/baseline/web/crawl0,1,0,0,0,EXHAUSTED
baseline,experiments/dep/results/method-full/general_paths/wackopicko/baseline/web/crawl0,15,106,13,27,MAX_TIME
dep,experiments/dep/results/method-full/general_paths/addressbook/dep/web/crawl0,39,90,34,82,MAX_TIME
dep,experiments/dep/results/method-full/general_paths/hotcrp/dep/web/crawl0,1,0,0,0,EXHAUSTED
dep,experiments/dep/results/method-full/general_paths/joomla/dep/web/crawl0,51,50,51,38,MAX_TIME
dep,experiments/dep/results/method-full/general_paths/owncloud/dep/web/crawl0,13,53,13,57,MAX_TIME
dep,experiments/dep/results/method-full/general_paths/phpbb2/dep/web/crawl0,1,0,0,0,EXHAUSTED
dep,experiments/dep/results/method-full/general_paths/scarf/dep/web/crawl0,1,0,0,0,EXHAUSTED
dep,experiments/dep/results/method-full/general_paths/vanilla/dep/web/crawl0,1,0,0,0,EXHAUSTED
dep,experiments/dep/results/method-full/general_paths/wackopicko/dep/web/crawl0,17,127,15,27,MAX_TIME
