run,crawl_dir,states,edges,states_with_dep,unique_dep,exit_status
baseline,experiments/dep/results/method-full/procrawl/addressbook/baseline/web/crawl0,47,124,38,139,MAX_TIME
baseline,experiments/dep/results/method-full/procrawl/hotcrp/baseline/web/crawl0,256,0,0,0,MAX_TIME
baseline,experiments/dep/results/method-full/procrawl/owncloud/baseline/web/crawl0,26,25,26,35,MAX_TIME
baseline,experiments/dep/results/method-full/procrawl/phpbb2/baseline/web/crawl0,1,0,0,0,EXHAUSTED
baseline,experiments/dep/results/method-full/procrawl/scarf/baseline/web/crawl0,1,0,0,0,EXHAUSTED
baseline,experiments/dep/results/method-full/procrawl/vanilla/baseline/web/crawl0,1,0,0,0,EXHAUSTED
baseline,experiments/dep/results/method-full/procrawl/wackopicko/baseline/web/crawl0,20,154,18,27,MAX_TIME
dep,experiments/dep/results/method-full/procrawl/addressbook/dep/web/crawl0,31,58,25,80,MAX_TIME
dep,experiments/dep/results/method-full/procrawl/hotcrp/dep/web/crawl0,133,0,1,4,MAX_TIME
dep,experiments/dep/results/method-full/procrawl/owncloud/dep/web/crawl0,12,10,11,35,MAX_TIME
dep,experiments/dep/results/method-full/procrawl/phpbb2/dep/web/crawl0,1,0,0,0,EXHAUSTED
dep,experiments/dep/results/method-full/procrawl/scarf/dep/web/crawl0,1,0,0,0,EXHAUSTED
dep,experiments/dep/results/method-full/procrawl/vanilla/dep/web/crawl0,1,0,0,0,EXHAUSTED
dep,experiments/dep/results/method-full/procrawl/wackopicko/dep/web/crawl0,19,137,17,27,MAX_TIME
