run,crawl_dir,states,edges,states_with_dep,unique_dep,exit_status
baseline,experiments/dep/results/method-full/rted/addressbook/baseline/web/crawl0,1,0,1,5,EXHAUSTED
baseline,experiments/dep/results/method-full/rted/hotcrp/baseline/web/crawl0,1,0,1,4,EXHAUSTED
baseline,experiments/dep/results/method-full/rted/joomla/baseline/web/crawl0,1,0,1,13,EXHAUSTED
baseline,experiments/dep/results/method-full/rted/owncloud/baseline/web/crawl0,1,0,1,9,EXHAUSTED
baseline,experiments/dep/results/method-full/rted/phpbb2/baseline/web/crawl0,1,0,0,0,EXHAUSTED
baseline,experiments/dep/results/method-full/rted/scarf/baseline/web/crawl0,1,0,0,0,EXHAUSTED
baseline,experiments/dep/results/method-full/rted/vanilla/baseline/web/crawl0,1,0,0,0,EXHAUSTED
baseline,experiments/dep/results/method-full/rted/wackopicko/baseline/web/crawl0,1,0,1,8,EXHAUSTED
dep,experiments/dep/results/method-full/rted/addressbook/dep/web/crawl0,24,51,23,114,MAX_TIME
dep,experiments/dep/results/method-full/rted/hotcrp/dep/web/crawl0,19,43,18,65,MAX_TIME
dep,experiments/dep/results/method-full/rted/joomla/dep/web/crawl0,14,8,14,23,MAX_TIME
dep,experiments/dep/results/method-full/rted/owncloud/dep/web/crawl0,7,18,7,57,MAX_TIME
dep,experiments/dep/results/method-full/rted/phpbb2/dep/web/crawl0,1,0,0,0,EXHAUSTED
dep,experiments/dep/results/method-full/rted/scarf/dep/web/crawl0,1,0,0,0,EXHAUSTED
dep,experiments/dep/results/method-full/rted/vanilla/dep/web/crawl0,1,0,0,0,EXHAUSTED
dep,experiments/dep/results/method-full/rted/wackopicko/dep/web/crawl0,16,121,14,27,MAX_TIME
