run,crawl_dir,states,edges,states_with_dep,unique_dep,exit_status
baseline,experiments/dep/results/method-full/widgets/addressbook/baseline/web/crawl0,15,36,11,78,MAX_TIME
baseline,experiments/dep/results/method-full/widgets/hotcrp/baseline/web/crawl0,13,38,12,208,MAX_TIME
baseline,experiments/dep/results/method-full/widgets/joomla/baseline/web/crawl0,2,6,2,13,EXHAUSTED
baseline,experiments/dep/results/method-full/widgets/owncloud/baseline/web/crawl0,6,13,6,57,MAX_TIME
baseline,experiments/dep/results/method-full/widgets/phpbb2/baseline/web/crawl0,1,0,0,0,EXHAUSTED
baseline,experiments/dep/results/method-full/widgets/scarf/baseline/web/crawl0,1,0,0,0,EXHAUSTED
baseline,experiments/dep/results/method-full/widgets/vanilla/baseline/web/crawl0,1,0,0,0,EXHAUSTED
baseline,experiments/dep/results/method-full/widgets/wackopicko/baseline/web/crawl0,9,61,7,20,EXHAUSTED
dep,experiments/dep/results/method-full/widgets/addressbook/dep/web/crawl0,25,47,21,72,MAX_TIME
dep,experiments/dep/results/method-full/widgets/hotcrp/dep/web/crawl0,16,38,15,64,MAX_TIME
dep,experiments/dep/results/method-full/widgets/joomla/dep/web/crawl0,15,16,15,17,MAX_TIME
dep,experiments/dep/results/method-full/widgets/owncloud/dep/web/crawl0,13,52,13,57,MAX_TIME
dep,experiments/dep/results/method-full/widgets/phpbb2/dep/web/crawl0,1,0,0,0,EXHAUSTED
dep,experiments/dep/results/method-full/widgets/scarf/dep/web/crawl0,1,0,0,0,EXHAUSTED
dep,experiments/dep/results/method-full/widgets/vanilla/dep/web/crawl0,1,0,0,0,EXHAUSTED
dep,experiments/dep/results/method-full/widgets/wackopicko/dep/web/crawl0,16,125,14,27,MAX_TIME
