method,run,apps,complete_runs,max_time_runs,exhausted_runs,duration_seconds,states,edges,crawl_paths,candidate_elements,failed_events,near_duplicates,states_with_dep,unique_dep,unique_links,unique_resources,unique_js_sources,code_covered_lines,code_coverable_lines,avg_average_dom_kb,avg_candidate_elements_per_state,avg_dep_state_coverage_pct,avg_unique_dep_per_state,avg_code_coverage_pct,avg_dep_coverage_pct,avg_link_coverage_pct,avg_js_source_coverage_pct,avg_code_coverage_union_pct,delta_duration_seconds_vs_baseline,delta_states_vs_baseline,delta_edges_vs_baseline,delta_crawl_paths_vs_baseline,delta_candidate_elements_vs_baseline,delta_failed_events_vs_baseline,delta_near_duplicates_vs_baseline,delta_states_with_dep_vs_baseline,delta_unique_dep_vs_baseline,delta_unique_links_vs_baseline,delta_unique_resources_vs_baseline,delta_unique_js_sources_vs_baseline,delta_code_covered_lines_vs_baseline,delta_code_coverable_lines_vs_baseline,delta_avg_average_dom_kb_vs_baseline,delta_avg_candidate_elements_per_state_vs_baseline,delta_avg_dep_state_coverage_pct_vs_baseline,delta_avg_unique_dep_per_state_vs_baseline,delta_avg_code_coverage_pct_vs_baseline,delta_avg_dep_coverage_pct_vs_baseline,delta_avg_link_coverage_pct_vs_baseline,delta_avg_js_source_coverage_pct_vs_baseline,delta_avg_code_coverage_union_pct_vs_baseline
dep_only,baseline,8,8,2,6,675,44,213,164,303,28,0,39,93,74,117,69,25671,25671,5.049,4.061,59.932,2.862,100.0,57.559,84.656,25.735,99.45,,,,,,,,,,,,,,,,,,,,,,,
general_paths,baseline,8,8,1,7,240,28,109,74,152,16,0,19,67,67,116,68,19804,19804,3.831,3.112,40.312,1.534,100.0,50.0,77.389,25.661,94.789,,,,,,,,,,,,,,,,,,,,,,,
general_paths,dep,8,8,2,6,729,50,237,179,324,30,0,43,93,76,132,79,20079,20079,5.322,3.988,57.553,1.703,100.0,57.559,86.126,26.47,94.366,489.0,22.0,128.0,105.0,172.0,14.0,0.0,24.0,26.0,9.0,16.0,11.0,275.0,275.0,1.491,0.876,17.241,0.169,0.0,7.559,8.737,0.809,-0.423
procrawl,baseline,8,8,1,7,2078,56,228,173,326,22,0,46,93,82,141,88,25615,25615,5.168,3.63,50.67,1.274,100.0,57.559,89.304,26.988,99.405,,,,,,,,,,,,,,,,,,,,,,,
procrawl,dep,8,8,3,5,2102,74,272,189,434,30,0,63,93,80,156,98,22238,22238,5.176,3.826,55.209,1.085,100.0,57.559,89.068,27.723,96.108,24.0,18.0,44.0,16.0,108.0,8.0,0.0,17.0,0.0,-2.0,15.0,10.0,-3377.0,-3377.0,0.008,0.196,4.539,-0.189,0.0,0.0,-0.236,0.735,-3.297
rted,baseline,8,8,1,7,34,8,0,0,32,12,0,4,26,36,92,60,19594,19594,3.481,4.0,50.0,3.25,100.0,23.66,57.855,25.074,91.746,,,,,,,,,,,,,,,,,,,,,,,
rted,dep,8,8,3,5,642,42,211,164,279,19,0,36,84,68,118,74,24790,24790,4.652,3.189,47.432,2.318,100.0,45.059,74.42,25.374,98.124,608.0,34.0,211.0,164.0,247.0,7.0,0.0,32.0,58.0,32.0,26.0,14.0,5196.0,5196.0,1.171,-0.811,-2.568,-0.932,0.0,21.399,16.565,0.3,6.378
simhash,baseline,8,8,0,8,32,8,0,0,37,12,0,5,39,39,110,69,19615,19615,4.973,4.625,62.5,4.875,100.0,27.439,65.355,25.735,91.809,,,,,,,,,,,,,,,,,,,,,,,
simhash,dep,8,8,3,5,1533,43,213,166,293,31,0,37,67,70,116,68,25016,25016,3.528,3.436,47.432,1.237,100.0,50.0,74.656,25.661,98.301,1501.0,35.0,213.0,166.0,256.0,19.0,0.0,32.0,28.0,31.0,6.0,-1.0,5401.0,5401.0,-1.445,-1.189,-15.068,-3.638,0.0,22.561,9.301,-0.074,6.492
url_full,baseline,8,8,1,7,418,42,178,124,247,7,0,29,85,79,122,69,19796,19796,5.13,3.715,49.584,2.185,100.0,49.225,85.334,25.735,94.713,,,,,,,,,,,,,,,,,,,,,,,
url_full,dep,8,8,2,6,679,54,223,163,325,27,0,40,93,78,117,69,25018,25018,5.085,3.862,53.986,2.047,100.0,57.559,88.831,25.735,98.308,261.0,12.0,45.0,39.0,78.0,20.0,0.0,11.0,8.0,-1.0,-5.0,0.0,5222.0,5222.0,-0.045,0.147,4.402,-0.138,0.0,8.334,3.497,0.0,3.595
widgets,baseline,8,8,0,8,187,24,87,55,131,14,0,18,82,66,122,69,19785,19785,5.813,3.816,54.763,3.217,100.0,50.151,84.33,25.735,94.24,,,,,,,,,,,,,,,,,,,,,,,
widgets,dep,8,8,2,6,689,48,229,176,313,30,0,41,93,76,122,69,25019,25019,5.504,3.926,57.76,1.991,100.0,57.559,86.126,25.735,98.35,502.0,24.0,142.0,121.0,182.0,16.0,0.0,23.0,11.0,10.0,0.0,0.0,5234.0,5234.0,-0.309,0.11,2.997,-1.226,0.0,7.408,1.796,0.0,4.11
