method,app,run,crawl_dir,exit_status,duration_seconds,states,edges,crawl_paths,average_dom_kb,candidate_elements,candidate_elements_per_state,failed_events,near_duplicates,states_with_dep,dep_state_coverage_pct,unique_dep,unique_dep_per_state,unique_links,unique_resources,unique_js_sources,code_coverage_files,code_coverage_parse_errors,code_covered_lines,code_coverable_lines,code_coverage_pct,total_known_dep,dep_coverage_pct,total_known_links,link_coverage_pct,total_known_js_sources,js_source_coverage_pct,total_known_code_lines,code_coverage_union_pct,delta_duration_seconds_vs_baseline,delta_states_vs_baseline,delta_edges_vs_baseline,delta_crawl_paths_vs_baseline,delta_average_dom_kb_vs_baseline,delta_candidate_elements_vs_baseline,delta_failed_events_vs_baseline,delta_near_duplicates_vs_baseline,delta_states_with_dep_vs_baseline,delta_dep_state_coverage_pct_vs_baseline,delta_unique_dep_vs_baseline,delta_unique_links_vs_baseline,delta_unique_resources_vs_baseline,delta_unique_js_sources_vs_baseline,delta_code_covered_lines_vs_baseline,delta_code_coverable_lines_vs_baseline,delta_code_coverage_pct_vs_baseline,delta_dep_coverage_pct_vs_baseline,delta_link_coverage_pct_vs_baseline,delta_js_source_coverage_pct_vs_baseline,delta_code_coverage_union_pct_vs_baseline
dep_only,addressbook,baseline,experiments/dep/results/metrics-full/dep_only/addressbook/baseline/web/crawl0,EXHAUSTED,37,7,15,8,3.006,22,3.143,0,0,6,85.71,19,2.714,15,5,0,42,0,828,828,100.0,19,100.0,17,88.24,0,,828,100.0,,,,,,,,,,,,,,,,,,,,,
dep_only,hotcrp,baseline,experiments/dep/results/metrics-full/dep_only/hotcrp/baseline/web/crawl0,MAX_TIME,287,16,76,63,3.372,113,7.062,16,0,15,93.75,12,0.75,10,3,2,177,0,2043,2043,100.0,12,100.0,17,58.82,2,100.0,2073,98.55,,,,,,,,,,,,,,,,,,,,,
dep_only,joomla,baseline,experiments/dep/results/metrics-full/dep_only/joomla/baseline/web/crawl0,EXHAUSTED,25,2,3,2,13.036,10,5.0,0,0,2,100.0,26,13.0,5,14,10,16,0,4199,4199,100.0,43,60.47,5,100.0,170,5.88,4199,100.0,,,,,,,,,,,,,,,,,,,,,
dep_only,owncloud,baseline,experiments/dep/results/metrics-full/dep_only/owncloud/baseline/web/crawl0,EXHAUSTED,31,2,1,2,6.069,14,7.0,12,0,2,100.0,9,4.5,5,79,57,17,0,15087,15087,100.0,9,100.0,5,100.0,57,100.0,15501,97.33,,,,,,,,,,,,,,,,,,,,,
dep_only,phpbb2,baseline,experiments/dep/results/metrics-full/dep_only/phpbb2/baseline/web/crawl0,EXHAUSTED,0,1,0,0,7.572,0,0.0,0,0,0,0.0,0,0.0,4,0,0,1,0,1041,1041,100.0,0,,4,100.0,0,,1041,100.0,,,,,,,,,,,,,,,,,,,,,
dep_only,scarf,baseline,experiments/dep/results/metrics-full/dep_only/scarf/baseline/web/crawl0,EXHAUSTED,0,1,0,0,1.823,0,0.0,0,0,0,0.0,0,0.0,2,0,0,1,0,11,11,100.0,0,,2,100.0,0,,11,100.0,,,,,,,,,,,,,,,,,,,,,
dep_only,vanilla,baseline,experiments/dep/results/metrics-full/dep_only/vanilla/baseline/web/crawl0,EXHAUSTED,0,1,0,0,0.466,0,0.0,0,0,0,0.0,0,0.0,1,2,0,1,0,2171,2171,100.0,0,,1,100.0,0,,2177,99.72,,,,,,,,,,,,,,,,,,,,,
dep_only,wackopicko,baseline,experiments/dep/results/metrics-full/dep_only/wackopicko/baseline/web/crawl0,MAX_TIME,295,14,118,89,5.048,144,10.286,0,0,14,100.0,27,1.929,32,14,0,403,0,291,291,100.0,27,100.0,106,30.19,0,,291,100.0,,,,,,,,,,,,,,,,,,,,,
general_paths,addressbook,baseline,experiments/dep/results/metrics-full/general_paths/addressbook/baseline/web/crawl0,EXHAUSTED,29,8,13,6,2.51,18,2.25,0,0,5,62.5,19,2.375,17,5,0,37,0,828,828,100.0,19,100.0,17,100.0,0,,828,100.0,,,,,,,,,,,,,,,,,,,,,
general_paths,addressbook,dep,experiments/dep/results/metrics-full/general_paths/addressbook/dep/web/crawl0,EXHAUSTED,40,9,16,8,2.73,23,2.556,0,0,6,66.67,19,2.111,17,5,0,43,0,828,828,100.0,19,100.0,17,100.0,0,,828,100.0,11.0,1.0,3.0,2.0,0.22,5.0,0.0,0.0,1.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
